BFMTV_BFMStory_2012-11-14_175800 2150.49 2157.32 Olivier_TRUCHOT  29 1 6.83 6.65000000000236 0.110000000000127 0.0333333333333333 0.016105417276739 mais les temps prend de l' acide(2) beffa mystery avec Rachid_M'_barki c' est qu' il faut se(2) soit retenir(2) dans l' actualité tout d' abord l' escalade(3) au proche-orient(4) 
BFMTV_BFMStory_2012-11-14_175800 2157.32 2197.901 Rachid_M_BARKI  140 27 40.581 37 3.55099999999902 0.161676646706587 0.0875040043369809 mais l' armée israélienne rappelons(3) -le(2) a lancé cet après midi une vaste offensive aérienne contre(2) la bande de(2) gaza affirmant avoir visé des sites(2) de(2) tirs de(2) roquettes à longue portée au moins vingt attaques aériennes(8) ont(2) été menées le(2) chef des(2) opérations militaires du hamas a été(2) tué l' armée israélienne(5) se(2) dit prêt(2) ce(2) soir a lancé une opération terrestre(3) à gaza si évidemment c' est nécessaire(8) à la branche armée du hamas promet de(2) son côté une riposte massive à israël et les brigades ezzedine(2) al qassam connus pour leur appellent de leurs(2) attaques suicide ainsi que(2) leurs tirs de roquettes affirme en(2) effet que(2) l' occupant israélien a ainsi ouvert sur aujourd'hui sur lui même les portes(2) de(2) l' enfer fin de citation et cela(2) en(2) tuant le chef des(2) opérations militaires du hamas écoutez 
BFMTV_BFMStory_2012-11-14_175800 2198.78 2220.071 Khalil_AL-HAYA  84 13 21.291 17.9700000000016 3.23000000000002 0.134020618556701 0.151707294161853 claudel dit à la à la main à la belge(2) bart y(5) a beaucoup travaillé pour ce(2) jour ils attendaient ben(3) il a construit sunday diriger ce mouvement(2) il a mené à la victoire de l' est aujourd'hui le triomphant(3) martyre(2) ça un mot si dieu le(2) veut notre ennemi(4) sioniste va payer le(2) prix(2) pour ce(2) lâche assassinat à laquelle ont(2) renoué le règne(3) de ou vers le rwanda afin de jérusalem sera libérée(2) qu' elle est qu' on(2) en dénombre(2) six ans 
BFMTV_BFMStory_2012-11-14_175800 2220.64 2225.251 Olivier_TRUCHOT  14 2 4.611 4.32100000000037 0.190000000000055 0.125 0.0412058121882573 et c' l' actualité aujourd'hui ce(2) sont également(3) les(2) européens mobilisés contre le(2) série(2) 
BFMTV_BFMStory_2012-11-14_175800 2225.25 2244.4 Rachid_M_BARKI  61 6 19.15 18.0100000000002 1.02999999999975 0.0895522388059701 0.0537859007832765 est en france comme dans le vingt deux(2) autres(2) pays européens des milliers de(2) manifestants ont défilé pour appeler(3) les dirigeants(2) européens(3) changer de politique en(2) espagne notamment les(2) échauffourées ont(2) éclaté avant la manifestation de(2) ce(2) soir point d' orgue de(2) cette journée de(2) grève générale(8) même si dans le pays(3) cela(2) ne(2) ressemblait pas vraiment une journée morte écoutez(3) 
BFMTV_BFMStory_2012-11-14_175800 2277.02 2290.629 Rachid_M_BARKI  52 7 13.609 12.0499999999997 1.42000000000007 0.11864406779661 0.104342714380195 c' est en(2) italie c' est(3) un policier qui a été grièvement(2) blessé à turin cinq(2) autres policiers ont(2) été plus légèrement(3) blessés(3) à milan dans des heurts en marge des manifestations organisées dans(2) une centaine de villes du pays(3) se(2) sont fait(2) des(2) autres nous nous tuons roué le(2) policier pâtures 
BFMTV_BFMStory_2012-11-14_175800 2291.35 2312.101 Rachid_M_BARKI  64 17 20.751 18.0800000000013 2.55000000000064 0.209876543209877 0.122885644065377 environ cinq(2) mille chirurgiens médecins(3) libéraux(2) et internes des(2) hôpitaux se(2) sont rassemblés cet après midi sous les fenêtres(4) de(2) la ministre de(2) la santé à paris avant ensuite(2) donc de(2) poursuivre(2) décidé la poursuite de(2) leur mouvement(2) ils(2) en sont à leur troisième(3) journée de(2) grève pour dénoncer(2) l' accord du vingt(2) cinq(2) octobre(2) dernier limitant les dépassements donnent aux dates d' honoraires 
BFMTV_BFMStory_2012-11-14_175800 2312.62 2345.596 Rachid_M_BARKI  108 25 32.976 29.4900000000016 3.36000000000104 0.18796992481203 0.10189228529843 c' est toujours le(2) mystère à barges à coup les gendarmes recherchent(2) toujours cloué une adolescente de(2) quinze ans disparue depuis six jours des plongeurs ont(2) aujourd'hui été mobilisées pour sonder les plans d' eau les gendarmes(2) n' ont toujours aucune piste(2) et les recherches(2) de(2) grande ampleur ne vont pas(2) s' arrêter ces(2) qu' a annoncé tout(2) à l' heure de la gendarmerie les recherches(2) plus ciblées vont(2) à présent être menés dans la nièvre deux salariés d' une usine(2) d' une filiale d' arcelor mittal sont morts asphyxiés ce matin un dysfonctionnement(2) niveau dans fourons est(3) che fait chuter le(2) taux d' oxygène dans l' air 
BFMTV_BFMStory_2012-11-14_175800 2346.38 2366.827 Rachid_M_BARKI  70 9 20.447 18.6699999999978 1.51999999999998 0.113924050632911 0.0743385337702344 Manuel_Valls fait(2) amende(2) honorable après bfm tv ce matin cet après midi c' est devant les députés(3) que(2) le(2) ministre(2) de l' intérieur a répété(3) sert(2) au gré d' avoir usé le(2) droit(2) d' être(2) responsable du retour du terrorisme(4) en france pour christian jacob le chef de(2) file des députés ump qui a interrogé(2) cet après-midi Manuel_Valls eh bien la réponse(3) du ministre de(2) l' intérieur est plutôt satisfaisant 
BFMTV_BFMStory_2012-11-14_175800 2366.82 2368.037 Claude_BARTOLONE  0 2 1.217 0 1.2170000000001 1 1.00000000000008 
BFMTV_BFMStory_2012-11-14_175800 2368.04 2391.868 Christian_JACOB  91 15 23.828 20.2200000000007 3.42999999999984 0.141509433962264 0.143948296122202 a la leçon du aura bien servi et disons que les regrets qu' il a exprimé(2) les(2) exprimer avec un peu plus(3) de(2) de(2) conviction qui ne(2) l' ai fait ce(2) matin je(2) pense aussi que(2) le(2) recadrage le(2) rappel à l' ordre du président(2) de la république lui lui ont été utiles(2) il n' empêche que(2) ces ces propos resteront marqué parce que(2) parce que(2) ce(2) propos ne sont pas acceptables de la part de(2) de la ministre de l' intérieur le(2) voir perdre(3) ainsi son sang-froid c' est choquant 
